	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
2515	2515	5.0	0.1383	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Density here is already enough. But if there is to be an increase, affordable housing is vital, and profiteering by developers is already something of a scandal so government or non-profit developers should be used.
2516	2516	5.0	0.1448	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I feel that there should be climate requirements and affordable housing in all projects and prefer not-for-profit developers
2517	2517	7.0	0.1087	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I do not more density
2518	2518	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Best for local residents
2519	2519	8.0	0.1212	area, high, environment, cost, pay, life, problem, space, quality, crime	Some rules can be twisted but a general law is better
2520	2520	8.0	0.1432	area, high, environment, cost, pay, life, problem, space, quality, crime	Population density increase in an already crowded area will cause major issues in the future from the perspective of traffic, pollution, crime 
2521	2521	7.0	0.1148	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Cheaper longterm rent is essential and less population density is required.
2522	2522	3.0	0.1328	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I don't like any of them. They will all lead to overcrowding. The infrastructure of the area is not adequate to accommodate ANY such proposals. 
2523	2523	2.0	0.119	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I would not support any affordable housing in my already built up area
2524	2524	1.0	0.1109	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Prefer to have no high building, only houses with gardens
2525	2525	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Need for business alongside residential, need for affordable housing
2526	2526	4.0	0.1237	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I am for devepment hence I have decided for the proposals
2527	2527	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	LEAST INCREASE IN HOUSING
2528	2528	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I do not belive in doubling housing density 
2529	2529	3.0	0.1502	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I don't like high density developments whether they be detached houses or apartments full stop. Nobody is prepared yet to confront the elephant in the room which is that there are just too many humans on the planet. We need to have a policy which encourages people to have fewer children.
2530	2530	4.0	0.1304	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	IT IS A BALANCE BETWEEN THE DIFFERENT ELEMENTS. SOME OF THEM HAD LITTLE SOCIAL BENEFIT, BUT MAJOR PROFIT MOTIVE
2531	2531	7.0	0.1372	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Increasing population density by 50% or more is a non runner. We have as many people as we can take already.
2532	2532	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	Dont think we need larger development ie cinemas etc.
2533	2533	2.0	0.1109	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	All the proposals are too expensive for people on modest incomes.
2534	2534	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	density and usage
2535	2535	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	no context taken into account
2536	2536	8.0	0.1087	area, high, environment, cost, pay, life, problem, space, quality, crime	there were many differences
2537	2537	5.0	0.1109	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I decided against all proposals that doubled the density. I then looked at climate specifications and then who the investor was and the mix of property types
2538	2538	9.0	0.1358	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	We need rent control but to bring rents down not have a maximum percaentage percentage increase 
2539	2539	9.0	0.1246	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	is very good to have rent control because of people who can not afford higher rent
2540	2540	1.0	0.1109	climate, rent, important, cap, building, change, build, issue, neutral, mixed	There should be no rent cap
2541	2541	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	more public housing neded
2542	2542	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	if I wanted a proposal it needs to be perfect
2543	2543	0.0	0.1182	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	the need for affordable housing is as important as raising density to avoid geographic creep and damage to the environment as yet protected,
2544	2544	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I think that we should be looking at less for-profit investment like most European countries 
2545	2545	3.0	0.1235	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The cost doesn't make any sense 
2546	2546	6.0	0.146	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	The choices offered had a mixture of pro/cons meaning theirs never the perfect solution. 
2547	2547	7.0	0.1209	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I think Croydon is vastly over populated as it is, and at this time we cannot cope with the number of people here now.
2548	2548	1.0	0.1091	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rejected over dense but recognised private invester need returns so do not agree with tight rent ciontrols
2549	2549	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	i like the more inclusive options
2550	2550	10.0	0.1591	people, live, city, lot, family, place, price, house, bad, property	rent is ridiculously high. tiny properties, people paying 1200 pounds a month for tiny bedroom. need rent controls. this is pushing people into poverty and pushing them out of London.
